type,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
conduit,69620,26016,35,0,0,0,0,0,0,0
conduit,77390,27454,35,0,0,0,0,0,0,0
conduit,61677,27719,35,0,0,0,0,0,0,0
conduit,74097,30304,35,0,0,0,0,0,0,0
conduit,65344,30888,35,0,0,0,0,0,0,0
conduit,69815,31597,35,0,0,0,0,0,0,0
conduit,93966,12807,35,0,0,0,0,0,0,0
conduit,98861,13570,35,0,0,0,0,0,0,0
conduit,88722,15038,35,0,0,0,0,0,0,0
conduit,102582,16564,35,0,0,0,0,0,0,0
conduit,94900,18384,35,0,0,0,0,0,0,0
conduit,85607,18737,35,0,0,0,0,0,0,0
conduit,104537,21554,35,0,0,0,0,0,0,0
conduit,99002,21958,35,0,0,0,0,0,0,0
conduit,90122,22317,35,0,0,0,0,0,0,0
conduit,94358,22500,250,0,0,0,0,0,0,0
conduit,85350,23315,35,0,0,0,0,0,0,0
conduit,94620,26016,35,0,0,0,0,0,0,0
conduit,102390,27454,35,0,0,0,0,0,0,0
conduit,86677,27719,35,0,0,0,0,0,0,0
conduit,99097,30304,35,0,0,0,0,0,0,0
conduit,90344,30888,35,0,0,0,0,0,0,0
conduit,94815,31597,35,0,0,0,0,0,0,0
conduit,30574,22917,35,0,0,0,0,0,0,0
conduit,35250,22967,35,0,0,0,0,0,0,0
conduit,26864,25038,35,0,0,0,0,0,0,0
conduit,39519,25468,35,0,0,0,0,0,0,0
conduit,31794,27283,35,0,0,0,0,0,0,0
conduit,35513,27995,35,0,0,0,0,0,0,0
conduit,23749,28737,35,0,0,0,0,0,0,0
conduit,41689,29309,35,0,0,0,0,0,0,0
conduit,28441,29808,35,0,0,0,0,0,0,0
conduit,37096,31720,35,0,0,0,0,0,0,0
conduit,23492,33315,35,0,0,0,0,0,0,0
conduit,42022,33362,35,0,0,0,0,0,0,0
conduit,28100,34234,35,0,0,0,0,0,0,0
conduit,35774,35902,35,0,0,0,0,0,0,0
conduit,31721,36947,35,0,0,0,0,0,0,0
conduit,40532,37454,35,0,0,0,0,0,0,0
conduit,24819,37719,35,0,0,0,0,0,0,0
conduit,37239,40304,35,0,0,0,0,0,0,0
conduit,28486,40888,35,0,0,0,0,0,0,0
conduit,32957,41597,35,0,0,0,0,0,0,0
conduit,32500,32500,250,0,0,0,0,0,0,0
boundary,0,0,2000000,0,2000000,2000000,0,2000000,0,0
boundary,0,0,400000,0,400000,150000,0,150000,0,0
conduit,5800,4000,35,0,0,0,0,0,0,0
conduit,6500,4000,50,0,0,0,0,0,0,0
conduit,35400,602996,508,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,660400,0,660400,0,0
conduit,35400,602996,508,0,0,0,0,0,0,0
boundary,0,0,1000000,0,1000000,660400,0,660400,0,0
